,STNCode,Name of Monitoring Location,Type of Water Body,State Name,Temperature Min⁰C,Temperature Max⁰C,Dissolved Oxygen(mg/L)Min,Dissolved Oxygen(mg/L)Max,pH Min,pH Max,Conductivity(μmhos/cm)Min,Conductivity(μmhos/cm)Max,BOD(mg/L)Min,BOD(mg/L)Max,NitrateN+NitriteN(mg/L)Min,NitrateN+NitriteN(mg/L)Max,FecalColiform(MPN/100ml)Min,FecalColiform(MPN/100ml)Max,TotalColiform(MPN/100ml)Min,TotalColiform(MPN/100ml)Max,Year
473,4691.0,"NAGOLE CHERUVU, UPPAL (V)",LAKE,TELANGANA,22.0,31.0,0.1,2.8,6.8,7.8,1034.0,1883.0,6.0,44.0,0.8,14.0,2.0,84.0,220.0,920.0,2020
474,4693.0,"PATEL CHERUVU, UPPAL (V)",LAKE,TELANGANA,19.0,26.0,0.1,2.2,6.8,7.4,966.0,1503.0,5.0,20.0,1.2,12.0,8.0,79.0,150.0,540.0,2020
475,4696.0,"PARKI CHERUVU, KUKATPALLY
(V), BALANAGAR",LAKE,TELANGANA,25.0,29.0,0.1,3.8,6.8,8.4,1043.0,1818.0,10.0,36.0,2.9,29.0,2.0,79.0,13.0,920.0,2020
476,4697.0,"MUKKIDI CHERUVU (RAMAKRISHNAPURAM LAKE),
MALKAJIGRI",LAKE,TELANGANA,27.0,27.0,5.2,5.2,8.5,8.5,561.0,561.0,6.0,6.0,16.0,16.0,5.0,5.0,33.0,33.0,2020
477,4698.0,"MANNEVARI KUNTA,
MACHABOLLARAM (V) ALWAL",LAKE,TELANGANA,26.0,31.0,0.1,4.0,7.0,7.8,1146.0,2014.0,9.0,52.0,1.9,13.0,2.0,34.0,63.0,430.0,2020
478,4699.0,"KAPRAI CHERUVU, SAHEBNAGAR (V),
HAYATHNAGAR",LAKE,TELANGANA,25.0,28.0,1.2,4.8,6.6,7.8,388.0,959.0,2.1,8.0,0.3,3.0,2.0,115.0,28.0,540.0,2020
479,4701.0,"LINGAM KUNTA, CHANDANAGAR (V)
SERLINGAMPALLY",LAKE,TELANGANA,20.0,29.0,0.1,3.2,6.8,7.8,1172.0,1737.0,5.0,28.0,1.62,12.0,2.0,94.0,94.0,540.0,2020
480,4702.0,"PEDDA CHERUVU   KHAJA GUDA, KHJAGUDA (V), SERLINGAMPALLY 9NEW
MANDAL)",LAKE,TELANGANA,22.0,30.0,2.1,5.9,7.2,8.1,1132.0,1793.0,8.0,34.0,13.0,41.0,13.0,280.0,49.0,1600.0,2020
481,4705.0,"KOTHA CHERUVU (ALWAL
CHERUVU), ALWAL (V)",LAKE,TELANGANA,26.0,30.0,0.1,2.8,7.0,7.6,1700.0,1916.0,10.0,38.0,5.0,22.3,11.0,49.0,130.0,430.0,2020
482,2344.0,"NALLA CHERUVU,
RANGAREDDY",POND,TELANGANA,26.0,30.0,0.3,2.4,7.6,7.7,1499.0,1669.0,10.0,14.0,1.9,3.41,2.0,20.0,8.0,350.0,2020
483,2345.0,"SAI CHERUVU, NEAR TANNERY
INDUSTRIES, DESAIPET, WARANGAL",POND,TELANGANA,28.0,29.0,0.1,4.7,6.8,8.4,2491.0,14650.0,21.0,82.0,1.9,11.0,2.0,58.0,18.0,430.0,2020
484,2346.0,"BHADRAKALI CHERUVU, BHADRAKALI TEMPLE,
WARANGAL",POND,TELANGANA,27.0,29.0,4.2,6.7,7.5,8.5,350.0,590.0,2.1,3.2,0.6,2.0,2.0,2.0,6.0,58.0,2020
485,2347.0,"ASANI KUNTA, KAJIPALLY, MEDAK",POND,TELANGANA,18.0,32.0,0.1,0.3,6.3,7.6,1409.0,12540.0,51.0,486.0,0.64,61.63,2.0,350.0,28.0,1600.0,2020
486,2357.0,DURGAM CHERUVU,POND,TELANGANA,27.0,30.0,0.1,4.8,7.1,8.7,814.0,1256.0,6.0,18.0,0.2,8.0,2.0,36.0,140.0,1600.0,2020
487,2359.0,PEDDA CHERUVU,POND,TELANGANA,26.0,32.0,0.1,1.1,7.1,7.8,914.0,1615.0,12.0,60.0,0.2,20.0,12.0,49.0,210.0,1600.0,2020
